20062,Rap
154911,UK
154911,R&B
154911,Pop
428036,Soul
428036,Soul Pop
428036,Pop
428036,R&B
1524,YMCMB
1524,Young Money
1524,Republic Records
1524,Rap
1830,R&B
1830,Producer 
1830,Pop
75226,Pop
75226,Rock
32544,R&B
4423,Rap
4423,Pop
4423,R&B
55381,Rap
55381,Pop
55381,R&B
58062,Def Jam Recordings
58062,R&B
58062,Pop
49192,Pop
49192,Adult Alternative
49192,Adult Contemporary
49192,Pop-Rock
49192,Chamber Music
49192,Baroque Pop
49192,British Rock
49192,Soundtrack
49192,Alternative
49192,UK
49192,Alternative Rock
49192,Rock
130024,Rock
130024,Pop-Rock
130024,Dance-Pop
130024,Pop
1993,Rap
110417,Def Jam Recordings
110417,Dance-Pop
110417,Electro-Pop
110417,R&B
110417,Pop
97149,Def Jam Recordings
97149,Electro-Pop
97149,Dance-Pop
97149,Electro House
97149,House
97149,Dance
97149,Electronic
97149,Pop
116960,Epic Records
116960,Screen
116960,Soundtrack
116960,Pop
4514,Dance
4514,Rap
4514,Pop
4514,R&B
95905,Rap
95905,Dance
95905,R&B
441426,Pop
115451,R&B
115451,Pop
1650,Dance
1650,Pop
195149,Power Pop
195149,Alternative Rock
195149,Pop-Rock
195149,Pop
195149,Rock
282635,Rock
369759,R&B
369759,Pop
58874,Adult Contemporary
58874,Adult Alternative
58874,Pop-Rock
58874,Pop
58874,Rock
1553984,Pop
25887,Rap
379030,Pop
379030,Pop-Rock
379030,R&B
379030,Rock
186012,Electro-Pop
186012,Pop-Rock
186012,Soundtrack
186012,Pop
334991,New Wave
334991,Synth-Pop
334991,Rock
157814,Pop-Rock
157814,Pop
157814,Rock
2171,Trap
2171,Rock
2171,Pop
2171,Rap
195945,Pop-Rock
195945,Dance-Pop
195945,Pop
737,Grand Hustle
737,Roc Nation
737,Atlantic Records
737,Pop
737,Rap
2927,West London
2927,Chicago
2927,Memes
2927,G.O.O.D. Music
2927,Atlantic Records
2927,R&B
2927,Rap
1234,Rap
132097,Pop Country
132097,Big Machine Records
132097,Country
132097,Pop
170443,Rap
59,YMCMB
59,Young Money
59,Crunk
59,New Orleans
59,Southern
59,Rap
229865,Rock
47608,Rap
4592,R&B
4592,Rap
780677,R&B
780677,Soul
780677,Soul Pop
780677,Pop
57189,Big Machine Records
57189,Country
57189,Pop
533069,Electro-Pop
533069,R&B
533069,Pop
799345,Pop
140823,Rap
267894,Rock
154924,R&B
154924,Pop
1711,Hip-Hop
1711,Dirty South
1711,Universal
1711,Summer
1711,Dance
1711,Interscope Records
1711,Southern
1711,Atlanta
1711,Crunk
1711,Memes
1711,Rap
371625,Alternative
371625,Alternative Rock
371625,Rock
1298,Wu-Tang
1298,Young Money
1298,Columbia Records
1298,Reggae
1298,R&B
1298,Rap
51829,Pop
51829,R&B
227416,Rock
20059,Rap
206599,Rock
2274681,Pop
97187,Def Jam Recordings
97187,R&B
856,Chicago
856,Rap
103804,R&B
6252,YMCMB
6252,Young Money
6252,Republic Records
6252,Universal
6252,Universal Republic Records
6252,Pop-Rock
6252,Electronic Rock
6252,Pop
6252,Alternative Rock
6252,Rock
6252,Rap
15254,R&B
15254,Rap
448432,Pop
601,Rap
1197075,Pop
45309,Rap
